Gas_consumption,Electricity_consumption,Water_consumption,Self_Storage_BuildingType,Industrial_BuildingType,Service_BuildingType,Office_BuildingType,Parking_BuildingType,Warehouse_BuildingType,Recreation_BuildingType,School_BuildingType,Hospital_BuildingType,Commercial_BuildingType,Residential_BuildingType,Other_BuildingType,Under9_AgePercentage,More60_AgePercentage,Female_Percentage,Median_Income,ResArea_ZipCode,LandUse_ZipCode,OfficeArea_ZipCode,BldgArea_ZipCode,BuildingAge,Occupancy,NumberofBuilding_Complex,Energy_Star_Score,Heating_dd,Cooling_dd,GHG,GFA(ft2)
1478.828178,131.2073327,8024.477392,0,0,0,0,0,0,0,0,0,0,1,0,9.8,32.9,0.537774375,108184,22148.25967,22148.25967,22148.25967,22148.25967,35,100,1,22,4496,1544,2020.5,304071
1499.686546,129.0761344,10532.82479,0,0,0,0,0,0,0,0,0,0,1,0,8.8,19.4,0.435087719,114844,32812.91429,32812.91429,32812.91429,32812.91429,26,100,1,74,3978,1732,2048.3,387919
1448.658038,267.3551059,13965.49216,0,0,0,0,0,0,0,0,1,0,0,0,5.4,27.2,0.31441048,23911,206.0714286,206.0714286,206.0714286,206.0714286,41,100,1,58,4496,1544,2853.9,172268
1493.73525,117.0127153,13146.19646,0,0,0,0,0,0,0,0,0,0,1,0,12.2,14.8,0.522780526,62672,5774.42449,5774.42449,5774.42449,5774.42449,46,95,1,1,4496,1544,2047.9,221100
1483.810344,189.8314747,10905.34938,0,0,0,0,0,0,0,0,0,0,1,0,5.8,7.5,0.540451895,52479,17792.49412,17792.49412,17792.49412,17792.49412,15,100,1,4,4496,1544,2256.7,248919
1466.458379,202.4009952,15107.84009,0,0,0,0,0,0,0,0,0,0,1,0,4.6,20.4,0.491036543,122090,32529.20904,32529.20904,32529.20904,32529.20904,53,100,1,17,4496,1544,2342.3,392966
1461.42561,153.3410987,15098.56878,0,0,0,0,0,0,0,0,0,0,1,0,13.1,20.8,0.556779661,84018,22244.81882,22244.81882,22244.81882,22244.81882,58,100,1,48,3978,1732,2154.3,421000
1458.256959,42.89048447,11265.48688,0,0,0,0,0,0,0,0,0,0,1,0,6,22.2,0.526156245,101772,35586.97452,35586.97452,35586.97452,35586.97452,54,95,1,48,3978,1732,1553.1,253490
1460.685964,169.6008758,5803.996841,0,0,0,0,0,0,0,0,0,0,1,0,8.7,16.5,0.574224631,95425,26279.50877,26279.50877,26279.50877,26279.50877,10,100,1,4,3978,1732,2241.7,304209
1456.707057,177.5989138,6208.667054,0,0,0,0,0,0,0,0,0,0,1,0,8.7,16.5,0.574224631,95425,26279.50877,26279.50877,26279.50877,26279.50877,10,100,1,4,4496,1544,2176,304209
